trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",20,0,-6.799340881227319,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",25,0,-132.10783005863345,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",30,7,4.764889625519653,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",30,0,-58.76342578624997,"{0: 24, 1: 1, 2: 2, 3: 3, 4: 0}",0
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",20,8,-13.388781665329674,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",25,14,-29.31785588686855,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",20,0,-56.55200923820098,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",25,0,-63.60685385614078,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",30,0,-84.37935835261281,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",25,14,6.345261627663941,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",25,0,-46.42043453233225,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",20,0,-82.27072537978628,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,0,3.881980806252953,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916992}",30,16,7.2462723602945065,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",20,0,-31.40726571091821,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655895}",20,0,-81.37719713336288,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660555}",25,3,1.2180834393358595,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.49658530379140947}",25,0,-55.260444433749356,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.4916441974609651}",25,0,-55.76064205671844,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",25,8,3.068534927618153,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",25,11,7.880872699000138,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.9286716938412872, 'e': 0.4771139155210344}",20,12,-15.906300859443293,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.4723665527410147}",20,0,-13.601808867568705,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",25,0,-96.0582552983667,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 2}",0
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",20,3,-37.620209286089256,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.4584060113052235}",25,14,-11.065197787082578,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.9240399244450868, 'e': 0.45384479528235583}",25,0,-86.58598529392259,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",25,16,10.36657756315853,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",20,0,-73.515700361513,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",30,0,-88.13957592666463,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",30,12,-112.37063963077614,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",25,11,-58.6502219913014,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",30,0,-54.99466297404399,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",20,4,23.396938032380156,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",25,12,-12.162953800570847,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",25,6,-35.01467487850885,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
89,False,"{'a': 0.914845573574452, 'e': 0.4106557527523455}",20,10,15.896119491778046,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",25,16,7.418747172331193,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",20,6,15.56556032359597,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.39851904108451414}",20,5,-37.923072284766405,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.3945537103716011}",20,8,-87.66613953026739,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",20,2,11.977294295808429,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",20,0,-40.09584870081936,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",20,13,-1.0097484005088593,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",20,11,-13.483388804147674,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",25,13,-9.51570258821843,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",20,8,8.993963334315254,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.9048374180359595, 'e': 0.36787944117144233}",30,14,0.7983921110368317,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",25,7,-37.10237912610317,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",25,14,21.57718779385624,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",20,10,-19.435493838264517,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.9012252974212047, 'e': 0.35345468195878016}",20,0,-12.977843388367702,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111553}",20,8,-2.147946946013894,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.899424648075924, 'e': 0.3464558103300574}",20,7,23.14083092840838,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
